source	target	Especie	string_interaction_score
A1S_2768	A1S_3201	aci	0.677
A1S_2768	A1S_3200	aci	0.728
A1S_2817	A1S_2819	aci	0.438
A1S_2817	A1S_2818	aci	0.979
A1S_2818	A1S_2819	aci	0.594
A1S_2955	A1S_3075	aci	0.624
A1S_2955	A1S_3058	aci	0.729
A1S_3058	A1S_3073	aci	0.999
A1S_3058	A1S_3075	aci	0.999
A1S_3073	A1S_3075	aci	0.999
A1S_3196	A1S_3197	aci	0.993
A1S_3200	A1S_3201	aci	0.984
A1S_3202	A1S_3204	aci	0.972
A1S_3202	A1S_3203	aci	0.999
A1S_3203	A1S_3204	aci	0.995
